Address,Old_Address,Latitude,Longitude,GeoAddress
"35 Drexel  Drive, 11706","35 Drexel Drive, Bay Shore, NY  11706",40.76117275,-73.26427709384438,"35, Drexel Drive, Suffolk County, New York, 11706, United States"
"213-19 99th  Avenue, 11429","213-19 99th Avenue, Queens Village, New York 11429",40.7147264,-73.74479047934399,"213-19, 99th Avenue, Bellaire, Queens, Queens County, New York, 11429, United States"
1933 1933  Highway  07719,"1933 Highway 35 Suite 356, Wall, New Jersey, 07719",50.8628739,4.5105717,"1933, Tramlaan, Sterrebeek, Zaventem, Halle-Vilvoorde, Vlaams-Brabant, Vlaanderen, 1933, België / Belgique / Belgien"
"162 MIll  Road, 10994","162 Old MIll Road, West Nyack, NY  10994",41.038019,-74.038412,"Mill Road, Park Ridge, Bergen County, New Jersey, 07656, United States"
6625 Eastern  Avenue  89119,"6625 S. Eastern Avenue Suite 100 Las Vegas, NV 89119",45.4113079,-75.705566,"Bronson / Somerset W, Bronson Avenue, Chinatown, Centretown, Somerset, (Old) Ottawa, Ottawa, Eastern Ontario, Ontario, K1R 6P3, Canada"
123 Th  Street  11232,123 47 Th Street P O Box 320187 Brooklyn NY 11232,50.8963941,11.6227447,"123, Mittlere Horizontale, Lobeda-Altstadt, Drackendorf, Jena, Thüringen, 07747, Deutschland"
110 Parkway  Drive  11788,"110 Parkway Drive South, Suite A,  Hauppauge, NY  11788",14.5532821,121.0262585,"Parkway Drive, Ayala Center Makati, Makati 1st District, Makati, 1224, Luzon"
"245 Park  Avenue, ","245 Park Avenue, 23rd Fl. New York, NY 10167-2595",40.7546124,-73.97467190070827,"245 Park Avenue, 245, Park Avenue, Midtown East, Manhattan, New York County, New York, 10037, United States"
215 GATES  ROAD  07643,"215 GATES ROAD UNIT U, LITTLE FERRY, NJ 07643",40.842851881687004,-74.03223793689159,"215, Gates Road, Little Ferry, Bergen County, New Jersey, 07643, United States"
 Dell  Way  78682,"One Dell Way RR8-2 E009, Round Rock TX 78682",30.4868577,-97.6668546,"Dell Way, Dell, Round Rock, Williamson County, Texas, 78664, United States"
7575 Colshire  Drive  22102,"7575 Colshire Drive McLean, VA 22102",38.92474571930849,-77.20810119095248,"7575, Colshire Drive, Tysons, Fairfax County, Virginia, 22102, United States"
444   Street  10028,"444 East  68th   Street  16 - G,   New York,     NY    10028",40.7332796,-73.9909401,"Strand Bookstore, 828, Broadway, Washington Square Village, Greenwich Village, Manhattan, New York County, New York, 10003, United States"
" Dell  Way, 78682","One Dell Way, Rr8-07, Round Rock, TX  78682",30.4868577,-97.6668546,"Dell Way, Dell, Round Rock, Williamson County, Texas, 78664, United States"
"17 BROOK  ROAD, 11746","17 OLD BROOK ROAD, DIX HILLS, N.Y.  11746",51.1325675,-0.6701497,"Brook Road, Witley, Brook, Waverley, Surrey, South East England, England, GU8 5UH, United Kingdom"
11101 14th  Ave  11356,"11101 14th Ave Fl 3, College Point, NY 11356",40.7856346,-73.8560036,"14th Avenue, Queens, Queens County, New York, 11356, United States"
"11 Commercial  Street, 11803","11 Commercial Street,plainview, N.y. 11803",40.790495,-73.4636046,"Commercial Street, Oyster Bay, Nassau County, New York, 11803, United States"
"1680 Michigan  Avenue, 33139","1680 Michigan Avenue, Suite 800, Miami Fl 33139",25.7916881,-80.138986,"Visa-O1, 1680, Michigan Avenue, Miami Beach, Miami-Dade County, Florida, 33139, United States"
"214 29th,  Street, 10001","214 West 29th, Street, New York, NY  10001",40.7481402,-73.9938579,"214, West 29th Street, NoMad, Manhattan, New York County, New York, 10001, United States"
"50 Broad  Street, 10004","50 Broad Street, #18th Flr, New York, NY,10004",40.705764450000004,-74.01174643203424,"50 Broad Street, 50, Broad Street, Manhattan Community Board 1, Manhattan, New York County, New York, 10004, United States"
" Zeiss  Drive, 10594","1 Zeiss Drive, Thornwood, NY 10594",41.10595,-73.768808,"Zeiss Drive, Mount Pleasant, Town of Mount Pleasant, Westchester County, New York, 10594, United States"
"24-25 46th  Street, 11103","24-25  46th Street, Long Island City, NY  11103",40.76715175,-73.90540769060695,"24-25, 46th Street, Sunnyside Gardens, Queens, Queens County, New York, 11103, United States"
"450 Sunrise  Hwy, 11570","450 Sunrise Hwy, Ste 103, Rockville Centre, NY 11570",40.6575234,-73.6457188,"Sunrise Highway, Rockville Centre, Hempstead, Nassau County, New York, 11570, United States"
"194 Washington  Avenue, 12210","194 Washington Avenue, Suite 610, Albany NY 12210",42.6562598,-73.76319164078302,"194, Washington Avenue, Sheridan Hollow, Lark Street, Albany, Albany County, New York, 12210, United States"
"64 Pound  Ridge, 10576","64 Cross Pond Road/ Pound Ridge, NY  10576",41.2087066,-73.5748483,"Pound Ridge, Town of Pound Ridge, Westchester County, New York, 10576, United States"
"400 Apgar  Drive, 08873","400 Apgar Drive, Unit G, Somerset, NJ 08873",40.54349133557047,-74.55256933557047,"400, Apgar Drive, Franklin Township, Somerset County, New Jersey, 08873, United States"
"55 Garnett  Street, 11231","55 Garnett Street, Brooklyn, NY 11231",40.7114195,-73.96240324447328,"The Garnett, 146, South 4th Street, Williamsburg, Brooklyn, Kings County, New York, 11211, United States"
 KING  STREET  10604,"4 NEW KING STREET WHITE PLAINS, NY  10604",36.975417,-122.034477,"King Street, Downtown, Santa Cruz, Santa Cruz County, California, 95060, United States"
"1342 Abercrombie  Road, ","1342 Abercrombie Road,  Novia Scotia   Canada",34.48972760586661,-82.40008005413124,"1342, Abercrombie Road, Anderson County, South Carolina, 29654, United States"
"9905 211th  Street, 11429","9905 211th Street, Queens Village, NY 11429",40.7150985,-73.7492949,"211th Street, Bellaire, Queens, Queens County, New York, 11429, United States"
"40 WEST  STREET, 10007","40 WEST STREET, NEW YORK, NY 10007",40.727499,-73.958769,"40, West Street, Greenpoint, Brooklyn, Kings County, New York, 11222, United States"
"40 Exchange  Place, ","40 Exchange Place, 4th Floor, New York, NY 10005-2701",40.7059245,-74.0103947,"The Irish Punt, 40, Exchange Place, Financial District, Manhattan, New York County, New York, 10005, United States"
" 43RD  STREET, 11232","1 43RD STREET, BOX #C9, BROOKLYN, NY 11232",40.6545079,-74.0153086,"43rd Street, Sunset Park, Brooklyn, Kings County, New York, 11232, United States"
123 47TH  STREET  11232,123 47TH STREET PO BOX 320187 BROOKLYN NY 11232,40.651888400000004,-74.01655889001228,"123, 47th Street, Sunset Park, Brooklyn, Kings County, New York, 11232, United States"
2411 Dulles  Corner  20171,"2411 Dulles Corner Park, Herndon VA 20171",38.95097335,-77.42829775733424,"Dulles Corner, 2550, Dulles View Drive, McNair, Fairfax County, Virginia, 20171, United States"
"30-30 60th  Street, 11377","30-30 60th Street, (Branch #6209), Woodside, NY  11377",40.7587484,-73.9031513,"30-30, 60th Street, Queens, Queens County, New York, 11377, United States"
"118 22nd  Street, 10011","118 West 22nd Street, 12th Floor, New York, NY 10011",40.663134,-73.998073,"118, 22nd Street, Sunset Park, Brooklyn, Kings County, New York, 11232, United States"
"295 Morris  Avenue, 07740","295 Morris Avenue, Suite 101, Long Branch, NJ 07740",40.29831495885688,-73.99168441487821,"295, Morris Avenue, Long Branch, Monmouth County, New Jersey, 07740, United States"
"118-16 Queens  Boulevard, 11375","118-16 Queens Boulevard, 2nd Floor, Forest Hills, NY 11375",40.7144993,-73.83210796074925,"118-16, Queens Boulevard, Kew Gardens, Queens, Queens County, New York, 11375, United States"
"16 Hills  Road, 07981","16 Troy Hills Road, Whippany, NJ 07981",40.822192,-74.406113,"16, Troy Hills Road, Hanover Township, Parsippany-Troy Hills, Morris County, New Jersey, 07981, United States"
37 39TH  STREET  10018,"37 WEST 39TH STREET SUITE 505, NEW YORK, N.Y. 10018",40.7520335,-73.9246864,"37-06, 39th Street, Sunnyside Gardens, Queens, Queens County, New York, 11101, United States"
"2850 Centerville  Road, 19808","2850 Centerville Road, Wilmington DE  19808",39.7579245,-75.62206924026103,"Agilent Technologies Inc., 2850, Centerville Road, Sedgley Farms, Wilmington, New Castle County, Delaware, 19808, United States"
 10101-C  AVENUE  11236,MERCHANT LLC 10101-C AVENUE D BROOKLYN NY 11236,40.6704599,-73.9850412,"C & Y, 399, 5th Avenue, Park Slope, Brooklyn, Kings County, New York, 11215, United States"
"201 Curry  Ave, 10314","201 Edward Curry Ave, Ste 206, Staten Island NY 10314",37.742325199999996,-119.58016654980815,"201, Southside Drive, Curry Village, Mariposa County, California, 95389, United States"
"37 Cedarhurst  Avenue, 11763","37 G Cedarhurst Avenue, Medford, NY 11763",40.843335,-72.991636,"Cedarhurst Avenue, Suffolk County, New York, 11763, United States"
900 900  Highway  07712,"900 Highway 35, Ocean  NJ  07712",-28.112195550000003,-54.71761653109753,"900, Linha Cega, Cerro Largo, Região Geográfica Imediata de Cerro Largo, Região Geográfica Intermediária de Ijui, Rio Grande do Sul, Região Sul, 97900-000, Brasil"
"79 Roslyn  Avenue, 11563","79 Roslyn Avenue, Lynbrook, NY  11563",40.743256200000005,-73.6343494,"79, Roslyn Road, Mineola, North Hempstead, Nassau County, New York, 11501, United States"
110 Parkway  Drive  11788,"110 Parkway Drive South, Suite A,  Hauppauge, NY  11788",14.5532821,121.0262585,"Parkway Drive, Ayala Center Makati, Makati 1st District, Makati, 1224, Luzon"
" Aerial  way, 11791","3 Aerial way, Syosset, NY 11791",40.8006771,-73.5176769,"Aerial Way, Oyster Bay, Nassau County, New York, 11791, United States"
"20 Orville  Drive, 11716","20 Orville Drive, Bohemia, NY, 11716",40.780804200000006,-73.10275245424793,"20, Orville Drive, Suffolk County, New York, 11716, United States"
"205 122nd  Street, 10035","205 East 122nd Street, 2nd Floor, New York, N.Y. 10035",40.7714029,-73.8465205,"122nd Street, Queens, Queens County, New York, 11354, United States"
"58-14 32nd  Avenue, 11377","58-14 32nd Avenue, Woodside, NY 11377",40.755700250000004,-73.90277994012055,"58-14, 32nd Avenue, Jackson Heights, Queens, Queens County, New York, 11377, United States"
"245 Park  Avenue, 10167","245 Park Avenue, 23rd Fl., New York, NY 10167",40.7546124,-73.97467190070827,"245 Park Avenue, 245, Park Avenue, Midtown East, Manhattan, New York County, New York, 10037, United States"
1221 1221  Avenue  10020,"1221 Avenue of the Americas C2 Level New York, NY 10020",40.765197,-73.9174481,"the avenue, 35-25, 30th Avenue, Queens, Queens County, New York, 11103, United States"
" Church  Road, 17318","P.O. Box 355, 89 Church Road, Emigsville, PA  17318",40.0178991,-76.7513766,"Church Road, Roundtown, Manchester Township, York County, Pennsylvania, 17318, United States"
" Orchard  Road, 10504","1 New Orchard Road, Armonk, NY 10504",1.3056286,103.8308001,"Orchard Road, Orchard, Singapore, Central, 238887, Singapore"
"59 Mall  Drive, 11725","59 Mall Drive, Commack, NY 11725",40.8132483,-73.27494460174617,"59, Mall Drive, Hauppauge, Suffolk County, New York, 11725, United States"
 10101-c  Avenue  11236,"Merchant LLC 10101-c Avenue D Brooklyn,  NY.  11236",40.6704599,-73.9850412,"C & Y, 399, 5th Avenue, Park Slope, Brooklyn, Kings County, New York, 11215, United States"
"866 6th  Avenue, 10001","866 6th Avenue, 11th Floor, New York, NY 10001",40.747533,-73.9892032,"866, 6th Avenue, Flower District, Manhattan, New York County, New York, 10001, United States"
"35 Journal  Square, 11201","35 Journal Square, Suite 480, Jersey City, NJ. 11201",40.73197997001166,-74.06450497030042,"35, Journal Concourse Square West, Indian Square, Bergen, Jersey City, Hudson County, New Jersey, 07306, United States"
"28-44 Point  Boulevard, 11354","28-44 College Point Boulevard, Flushing, NY 11354",45.4422852,-122.57696539989115,"MetroPCS, 11354, Southeast 82nd Avenue, Harmony Point, Happy Valley, Metro, Clackamas County, Oregon, 97086, United States"
 DELL  WAY  78682,"ONE DELL WAY MSRR8-07, ROUND ROCK, TX  78682",30.4868577,-97.6668546,"Dell Way, Dell, Round Rock, Williamson County, Texas, 78664, United States"
"6740 Baymeadow  Drive, 21060","6740 Baymeadow Drive, Glen Burnie,  MD  21060",39.18726724362317,-76.59502467614442,"6740, Baymeadow Drive, Bay Meadow, Anne Arundel County, Maryland, 21060, United States"
"123 WILLIAM  STREET, 10038","123 WILLIAM STREET, 16TH Floor, NEW YORK, NY  10038",40.7093246,-74.00713905447992,"123 William Street, 123, William Street, Financial District, Manhattan, New York County, New York, 10038, United States"
"372 Bay  Street, ","372 Bay Street, Suite 1000, Toronto, ON, Canada, M5H 2W9",28.566327714285713,-81.54750108163266,"372, Bay Street, Ocoee, Orange County, Florida, 34761, United States"
"31 Windsor  Place, 11722","31 Windsor Place, Central Islip, NY 11722",40.79451055,-73.17897985449991,"31, Windsor Place, Suffolk County, New York, 11722, United States"
"2324 17Th  Avenue, 60131","2324 N 17Th Avenue, Franklin Park, IL   60131",41.92080169230247,-87.85557867550816,"2324, 17th Avenue, Franklin Park, Leyden Township, Cook County, Illinois, 60131, United States"
" Haven,  CT  06534","P.O. Box 9433, New Haven, CT  06534",46.2083893,-60.5946247,"Cabot Trail, South Haven, Municipality of Victoria County, Victoria County, Nova Scotia, Canada"
"535 80TH  STREET, 10075","535 EAST 80TH STREET, 2ND FL., NEW YORK, NY 10075",40.80253903448276,-74.00672020689655,"535, 80th Street, Hudson Heights, North Bergen, Hudson County, New Jersey, 07047, United States"
24 Inverness  Place  80112,"24 Inverness Place East, Englewood, CO 80112",39.571705,-104.85988770883324,"Bona US, 24, Inverness Place East, Englewood, Arapahoe County, Colorado, 80112, United States"
"123   Street, 11232","123  47th    Street,  PO Box  320187     Brooklyn,     NY   11232",49.1754217,-122.8818794,"123 Street, Whalley, Surrey, Metro Vancouver, British Columbia, V3V 1G2, Canada"
" 42nd  Street, 11210","Warehouse, 809 East 42nd Street, Brooklyn, NY. 11210",40.652253,-74.0101062,"42nd Street, Sunset Park, Brooklyn, Kings County, New York, 11232, United States"
"18-07 38th  Street, 11105","18-07 38th Street, Astoria, NY 11105",40.76835130612245,-73.91234741836735,"18, 38th Street, Queens, Queens County, New York, 11103, United States"
"500 8th  Avenue, 10018","500 8th Avenue, Suite 903, New York, NY 10018",40.7529683,-73.9926431,"Taco Bell Cantina, 500, 8th Avenue, Garment District, Manhattan, New York County, New York, 10018, United States"
"2905 Industrial  Way, 30024","2905 Shawnee Industrial Way, Suwanee  GA   30024",34.03043202020202,-84.04091231313132,"2905, Flowers Industrial Way, Suwanee, Gwinnett County, Georgia, 30024, United States"
"529 Cedar  Lane, 08518","529 Cedar Lane,  PO Box 146, Florence NJ  08518",40.104368,-74.796568,"Cedar Lane, Florence, Florence Township, Burlington County, New Jersey, 08518, United States"
"50 50, Court  Court  11201",50 Court Street Ste 700 Brooklyn NY 11201,33.5528811,-112.0696154,"11201, East Northern Avenue, Citrus Grove, Phoenix, Maricopa County, Arizona, 85020-4161, United States"
94 INDUSTRY  COURT  11729,"94 EAST INDUSTRY COURT  DEER PARK, NY 11729",40.76493340492168,-73.29993129436217,"94, West Industry Court, Suffolk County, New York, 11729, United States"
"123 47th  Street, 11232","123    47th Street, PO Box  320187, Brooklyn,     NY     11232",40.651888400000004,-74.01655889001228,"123, 47th Street, Sunset Park, Brooklyn, Kings County, New York, 11232, United States"
"23 Fontana  Lane, 21237","23 Fontana Lane, Ste 110, Baltimore, MD 21237",39.339482,-76.4924792,"23, Fontana Lane, Ross Ridge, Rossville, Baltimore County, Maryland, 21237, United States"
"150 28th  Street, ","150 West 28th Street, Suite 1003",40.68694016455696,-73.39528616455696,"150, 28th Street, Copiague, Suffolk County, New York, 11726, United States"
175 Central  Avenue  11714,175 Central Avenue South Bethpage N Y 11714,40.7395141,-73.4942228,"Central Avenue, Hempstead, Nassau County, New York, 11714, United States"
" The  Green, 19901","8 The Green, Suite 5945, Dover DE 19901",39.156207699999996,-75.52376393549564,"The Green, Capitol Green, Dover, Kent County, Delaware, 19901, United States"
110 PARKWAY  DRIVE  11788,"110 PARKWAY DRIVE SOUTH SUITE HAUPPAUGE, NY  11788",14.5532821,121.0262585,"Parkway Drive, Ayala Center Makati, Makati 1st District, Makati, 1224, Luzon"
8507 Winn  RD  ,"8507 South Winn RD PO Box 1000, Winn, MI 48896-1000",42.7019305,-71.4958928,"Winn Road, Ward 5, Nashua, Hillsborough County, New Hampshire, 03062, United States"
24 South  Street  ,24 South Street Unit B1,42.7019305,-71.4958928,"Winn Road, Ward 5, Nashua, Hillsborough County, New Hampshire, 03062, United States"
"123 47th  Street, 11232","123    47th Street, PO Box  320187, Brooklyn,     NY     11232",40.651888400000004,-74.01655889001228,"123, 47th Street, Sunset Park, Brooklyn, Kings County, New York, 11232, United States"
"15-05 132nd  Street, 11356","15-05 132nd Street, 1st Fl., College Point, NY  11356",40.7856006,-73.8363285,"132nd Street, Silverpointe Estates, Queens, Queens County, New York, 11356, United States"
"200 Hudson  Street, 10013","200 Hudson Street, 10th Floor, New York, NY 10013",40.7230116,-74.0078661,"200, Hudson Street, Tribeca, Hudson Square, Manhattan, New York County, New York, 10013, United States"
"123 47th  Street, 11232","123    47th Street, PO Box  320187, Brooklyn,     NY     11232",40.651888400000004,-74.01655889001228,"123, 47th Street, Sunset Park, Brooklyn, Kings County, New York, 11232, United States"
"8260 Corporate  Drive, ","8260 Willow Oaks Corporate Drive, Fairfax VA",39.1413283,-96.6769651,"Corporate Drive, Manhattan, Riley County, Kansas, 66517, United States"
"50 23rd  Street, ","50 West 23rd Street, 8th Floor, New York, NY  10010-5025",-25.773911175675675,28.26363875675676,"50, 23rd Street, Maroelana, Tshwane Ward 82, Pretoria, City of Tshwane Metropolitan Municipality, Gauteng, 0102, South Africa"
"680 SWEDESFORD  ROAD, 19087","680 EAST SWEDESFORD ROAD, WAYNE, PA 19087",40.06806707433347,-75.45013273242215,"680, Swedesford Road, Tredyffrin Township, Chester County, Pennsylvania, 19312, United States"
 HENRIETTA  STREET  11801,1 HENRIETTA STREET  HICKSVILLE NY 11801,40.7600837,-73.5461978,"Henrietta Street, Oyster Bay, Nassau County, New York, 11801, United States"
"7575 Colshire  Drive, 22102","7575 Colshire Drive, McLean, VA 22102",38.92474571930849,-77.20810119095248,"7575, Colshire Drive, Tysons, Fairfax County, Virginia, 22102, United States"
"123 47th  Street, 11232","123    47th Street, PO Box  320187, Brooklyn,     NY     11232",40.651888400000004,-74.01655889001228,"123, 47th Street, Sunset Park, Brooklyn, Kings County, New York, 11232, United States"
"505 FAlls  Way, 30188","505 FAlls Way, Woodstock, GA  30188",34.12654433400795,-84.39064950732357,"505, Falls Way, Creek Hollow South, Cherokee County, Georgia, 30188, United States"
"590 Madison  Avenue, 10022","590 Madison Avenue, 21st Floor, New York, NY 10022",40.762157450000004,-73.97303314307712,"590 Madison Avenue, 590, Madison Avenue, Midtown East, Manhattan, New York County, New York, 10037, United States"
191 Joralemon  Street  11201,"191 Joralemon Street 14th Floor, Brooklyn, Ny,11201",40.69283285,-73.99175763643046,"Catholic Charities Brooklyn & Queens, 191, Joralemon Street, Brooklyn Heights, Brooklyn, Kings County, New York, 11201, United States"
"2800 Hollow  Road, 53711","2800 Woods Hollow Road, Madison, WI  53711",42.7738183,-83.4129734,"Fox Hollow Road, Oakland County, Michigan, 48348, United States"
1420 Beverly  Rd  ,"1420 Beverly Rd Ste 330, Mc Lean, VA 22101-3735",38.93401235,-77.18177460839817,"1420, Beverly Road, West McLean, Bryn Mawr, McLean, Fairfax County, Virginia, 22101, United States"
"355 Mill  Road, 08831","355 Davidsons Mill Road, Jamesburg, NJ  08831",40.348392,-74.448446,"Mill Road, Beaver Brook Run, Jamesburg, Middlesex County, New Jersey, 08831, United States"
"840 Bartlett  Road, 60103","840 West Bartlett Road, Suite 3, Bartlett,   IL  60103",41.97699232939349,-88.18376460300453,"840, Bartlett Road, Bartlett, DuPage County, Illinois, 60103, United States"
"274 Plains  Road, 10709","274 White Plains Road, Ste #6, Eastchester, NY 10709",35.7888117,44.0700543,"road, شەمزیناوە, ناحیەی قوشتەپە, قەزای دەشتی ھەولێر, پارێزگای هەولێر, ‎هەرێمی کوردستان, العراق / عێراق"
"9225 Cave  RD, 78733","9225 Bee Cave RD, BLDG B, STE 101, Austin, TX 78733",30.25993927749166,-97.90007137422974,"9225, Old Bee Cave Road, Austin, Travis County, Texas, 78735, United States"
"1913 Atlantic  Avenue, ","1913 Atlantic Avenue, STE 198A, Manasquan, NJ 08736-1066",40.839439,-78.399506,"Atlantic Avenue, Atlantic, Bigler Township, Clearfield County, Pennsylvania, 16651, United States"
363 US  Highway  07004,"363 US Highway 46, Suite 160, Fairfield, NJ 07004",39.5832486,2.6530654,"Alfons el Magnànim, 12, Carrer d'Alfons el Magnànim, s'Olivera, Palma, Illes Balears, 07004, España"
"505 Falls  Way, 30188","505 Falls Way, Woodstock, GA 30188",34.12654433400795,-84.39064950732357,"505, Falls Way, Creek Hollow South, Cherokee County, Georgia, 30188, United States"
"40 Rector  Street, 10006","40 Rector Street, 8th Floor, New York, N.Y. 10006",40.708639399999996,-74.01468472284677,"40 Rector Street, West Street, Manhattan Community Board 1, Manhattan, New York County, New York, 10006, United States"
 Union  Street  12015,"2 Union Street Ext., Athens,      NY      12015",32.5725418,-89.1118044,"Union Street, Union, Newton County, Mississippi, 39365, United States"
"266 37th  Street, 10018","266 West 37th Street, 3rd Floor, New York, NY 10018",40.655449775510206,-74.00801818367347,"266, 37th Street, Greenwood Heights, Brooklyn, Kings County, New York, 11232, United States"
" Aerial  Way, 11791","6 Aerial Way, Syosset, New York  11791",40.8006771,-73.5176769,"Aerial Way, Oyster Bay, Nassau County, New York, 11791, United States"
"39 Jersey  Street, 11704","39 Jersey Street, West Babylon, NY 11704",40.734688250000005,-73.37996293127104,"39, Jersey Street, Suffolk County, New York, 11704, United States"
"17300 Medina  Road, ","17300 Medina Road, Suite 600, Minneapolis, MN 55447-5639",45.026104,-93.543503,"Medina Road, The Enclave at Brockton, Medina, Hennepin County, Minnesota, 55391, United States"
"80 Spencer  Street, 11205","80 Spencer Street, Suite # 4, Brooklyn, N.Y.  11205",40.69634015,-73.95576356473367,"80, Spencer Street, Brooklyn, Kings County, New York, 11205, United States"
"16 Hills  Road, 07981","16 Troy Hills Road, Whippany, NJ 07981",40.822192,-74.406113,"16, Troy Hills Road, Hanover Township, Parsippany-Troy Hills, Morris County, New Jersey, 07981, United States"
"8800 White  RD, ","8800 SW Barney White RD, Port Orchard, WA 98367-7491",52.9822555,-1.1748913,"White Road, Old Basford, City of Nottingham, East Midlands, England, NG5 1JR, United Kingdom"
800 Westchester  Avenue  ,"800 Westchester Avenue S604, Rye Brook, NY  10573-1354",41.006419550000004,-73.69032438091673,"800, Westchester Avenue, Rye Brook, Town of Rye, Westchester County, New York, 10573, United States"
"458 Johnson  Avenue, 11716","458 Johnson Avenue, Bohemia,    NY   11716",40.77178855,-73.09320725212598,"458, Johnson Avenue, Suffolk County, New York, 11716, United States"
"42 Field  Street, 11704","42 Field Street, West Babylon, NY  11704",38.9853349,-75.9321714,"42, Cherry Lane, Lyn Woods, Caroline County, Maryland, United States"
"153 Conduit  Avenue, 11434","153 - 20 South Conduit Avenue, Jamaica,    NY 11434",40.6678719,-73.7805384,"153, North Conduit Avenue, Queens, Queens County, New York, 11434, United States"
"33 IRVING  PLACE, 10003","33 IRVING PLACE, NEW YORK N.Y 10003",40.7351053,-73.9881133,"33, Irving Place, Union Square, Manhattan, New York County, New York, 10003, United States"
"23-23 Borden  Avenue, 11101","23-23 Borden Avenue, 2nd Floor, Long Island City, NY 11101",40.7399572,-73.9465814,"23-23, Borden Avenue, Hunters Point, Queens, Queens County, New York, 11101, United States"
"161 WASHINGTON  STREET, 19428","161 WASHINGTON STREET,SUITE 600 CONSHOHOCKEN, PA  19428",40.0713688,-75.3078466,"U.S. Realty Capital, 161, Washington Street, Conshohocken, Montgomery County, Pennsylvania, 19428, United States"
 Union  Street  12015,"2 Union Street Ext., Athens,      NY      12015",32.5725418,-89.1118044,"Union Street, Union, Newton County, Mississippi, 39365, United States"
"191 Joralemon  Street, 11201","191 Joralemon Street, 14th Fl., Brooklyn, NY, 11201",40.69283285,-73.99175763643046,"Catholic Charities Brooklyn & Queens, 191, Joralemon Street, Brooklyn Heights, Brooklyn, Kings County, New York, 11201, United States"
"11 Park  Place, 10007","11 Park Place, Suite 1416, New York, NY, 10007",40.7130009,-74.0083413,"11, Park Place, Lower Manhattan, Civic Center, Manhattan, New York County, New York, 10007, United States"
"600 Montgomery  Street, 94111","600 Montgomery Street, Suite 800, San Francisco, CA 94111",37.795200550000004,-122.40279267840137,"Transamerica Pyramid, 600, Montgomery Street, Chinatown, San Francisco, San Francisco City and County, San Francisco, California, 94111, United States"
110 Parkway  Drive  11788,"110 Parkway Drive South, Suite A,  Hauppauge, NY  11788",14.5532821,121.0262585,"Parkway Drive, Ayala Center Makati, Makati 1st District, Makati, 1224, Luzon"
48 Service  Road  11747,"48 South Service Road STE 200, Melville, NY 11747",40.7835411,-73.4371344,"48, Long Island Expressway, Suffolk County, New York, 11747, United States"
3211 Parkway  Court  66047,"3211 Clinton Parkway Court Suite # 1, Lawrence,    KS   66047",38.943534,-95.289573,"Parkway Court, Alvamar Neighborhood, Lawrence, Douglas County, Kansas, 66047, United States"
"523 Main  Street, 12118","523 South Main Street, P.O. Box 31, Mechanicville, NY  12118",42.9043535,-73.8206921,"Main Street, Jonesville, Town of Clifton Park, Saratoga County, New York, 12065, United States"
"68 Jay  Street, 11201","68 Jay Street, Suite 307, Brooklyn, N.Y. 11201",40.7030075,-73.9868156,"68 Jay Street Bar, 68, Jay Street, DUMBO, Brooklyn, Kings County, New York, 11201, United States"
"90 Broad  Street, 10004","90 Broad Street, 8th flr., New York, NY 10004",40.70379645,-74.01196078915397,"Stone & Webster Building, 90, Broad Street, Manhattan Community Board 1, Manhattan, New York County, New York, 10004, United States"
